,person,sequence_id,group,sequence,reported_sequence,corrected_sequence,cleaned_sequence,cleaned_reported_sequence,correct,sequence_errors,errors,marked
0,pierreG,38,bachelor,hhhhhxthxhtthhhthtthhhthhhhhhthhhtxtxhhtthhhttxhtxhxththhhhhhhthtthhhhhthhthhthhhthhxhhttthhhhtthxhthtthtttth ,tttttxhtxthhttththhttthtttttthttthxhxtthhttthhxthxtxhthttttttththhttttthtthtthttthttxtthhhtttthhtxththhthhhht,tttttxhtxthhttththhttthtttttthttthxhxtthhttthhxthxtxhthttttttththhttttthtthtthttthttxtthhhtttthhtxththhthhhht ,ttttthtthhttththhttthtttttthttthhtthhttthhthththttttttththhttttthtthtthttthtttthhhtttthhtththhthhhht ,ttttthtthhttththhttthtttttthttthhtthhttthhthththttttttththhttttthtthtthttthtttthhhtttthhtththhthhhht,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",
1,amirS,112,bachelor,hhhthtthhthhhtttxhxthtxhthxhxthhxththhhthtxthttththxhhhhthhthtththtthttttthhthxththhhththtthhxtthhthtthhhthh,hhxttththhtthttthhhxththxthtxtxhttxhththtththxthhhthtxtttthtththhththhthhhhhtthtxhthttthththhttxhhtththhttthtt,hhhthtthhthhhtttxhxthtxhthxhxthhxththhhthtxthttththxhhhhthhthtththtthttttthhthxththhhththtthhxtthhthtthhhthh,hhhthtthhthhhttththththhthhththhhthtthttththhhhhthhthtththtthttttthhthththhhththtthhtthhthtthhhthh,hhttththhtthttthhhthththtthtthththtthththhhthttttthtththhththhthhhhhtthththttthththhtthhtththhttthtt,0,"[0, 0, 1, 0, 1, 1, 0, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0, 1, 1, 1, 1, 1, 1, 0, 0, 1, 0, 0, 1, 1, 1, 0, 1, 1, 1, 0, 1, 1, 1, 0, 1, 0, 1, 1, 0, 1, 1, 1, 0, 1, 0, 0, 1, 1, 0, 0, 1, 1, 1, 0, 0, 1, 0, 1, 1, 1, 0, 0, 0, 1, 1, 1, 1, 1, 0, 1, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 1, 0]","[0, 0, 1, 0, 1, 1, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0, 0, 1, 1, 0, 0, 0, 1, 1, 1, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 1, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 1, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 1]",x
2,davidV,14,bachelor,ttththhthhhhhthtttxthhhhhthtththhtxthhxththhhhthtthxthxhttxthththhttttttxtxtthxhtxttxhtxthhxxhtthttxhtttttth,ttththhthhhhhthttththhhhhthtththhtthhththhhththtthhthhttthththhttttttthtthhtttthhtthhhhtthtthtttttth,ttththhthhhhhthtttxthhhhhthtththhtxthhxththhhhthtthxthxhttxthththhttttttxtxtthxhtxttxhtxthhxxhtthttxhtttttth,ttththhthhhhhthtttthhhhhthtththhtthhththhhhthtththhttthththhttttttttthhttthtthhhtthtthtttttth,ttththhthhhhhthttththhhhhthtththhtthhththhhththtthhthhttthththhttttttthtthhtttthhtthhhhtthtthtttttth,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 1, 1, 0, 1, 1, 1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 1, 1, 0, 1, 1, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 1, 0, 1, 1, 1, 0, 1, 0, 0, 1, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",
3,kaleemU,104,bachelor,tthhhtttthhthhhththhhhhhthxhththtthhhththhtthhthhhhhhtththhthhhhhtttxhhhhhhtthhhhthhthttxhxhthtttxhhhtthh,tthhhtttthhthhhththhhhhhthxhththhthhhththhtthhthhhhhhtththhthhhhhtttxhhhhhhtthhhhthhthttxhhthttthhhtthh,tthhhtttthhthhhththhhhhhthxhththtthhhththhtthhthhhhhhtththhthhhhhtttxhhhhhhtthhhhthhthttxhxhthtttxhhhtthh,tthhhtttthhthhhththhhhhhthhththtthhhththhtthhthhhhhhtththhthhhhhttthhhhhhtthhhhthhthtthhthttthhhtthh,tthhhtttthhthhhththhhhhhthhththhthhhththhtthhthhhhhhtththhthhhhhttthhhhhhtthhhhthhthtthhthttthhhtthh,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",
4,davidKL,58,bachelor,httthhhhthtthtttthhhhthhhhhhhthttxhhxhhtttttttxtthhhxthtxthhttxthhhthhhttthxtththhttthhhttthhtththtxhxhtththtxhhh,httthhhhthtthtttthhhhthhhhhthtthhhhttttttttthhhthtthhttthhhthhhttthtththhttthhhttthtthththhtthththh,httthhhhthtthtttthhhhthhhhhhhthttxhhxhhtttttttxtthhhxthtxthhttxthhhthhhttthxtththhttthhhttthhtththtxhxhtththtxhhh,httthhhhthtthtttthhhhthhhhhhhthtthhhhttttttttthhhthtthhttthhhthhhttthtththhttthhhttthhtthththhtthththhh,httthhhhthtthtttthhhhthhhhhthtthhhhttttttttthhhthtthhttthhhthhhttthtththhttthhhttthtthththhtthththh,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0, 0, 1, 1, 1, 1, 1, 0, 1, 1, 0, 1, 0, 1, 0, 1, 1, 0, 1, 0, 1, 1, 0, 0, 1, 1, 1, 0, 1, 1, 0, 1, 1, 0, 1, 0, 1, 0, 0, 1, 1, 1, 0, 0, 1, 0, 0, 1, 1, 1, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",
5,ingeborgR,45,marathon,hxthhttthhhhhtttttttththhtthhxtthhhthhhhthhhtttttttththhhtttttthhhtttthhhhhhhhhhttthtuutthhhhhththththhh,hxthhttthhhhhtttttttththhthhhxtthhhthhhhthhhttttxttthtthhtttttthhhtttthhhhhhhhhhtxththttthhhhhththththhh,hxthhttthhhhhtttttttththhtthhxtthhhthhhhthhhtttttttththhhtttttthhhtttthhhhhhhhhhttthtuutthhhhhththththhh,hthhttthhhhhtttttttththhtthhtthhhthhhhthhhtttttttththhhtttttthhhtttthhhhhhhhhhttthttthhhhhththththhh,hthhttthhhhhtttttttththhthhhtthhhthhhhthhhttttttthtthhtttttthhhtttthhhhhhhhhhtththttthhhhhththththhh,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",
6,madlenH,22,marathon,httthhthhttttttttttthxhththhthhhxhthhhhhhhthhhhhhttthhxthxtthtttththhthhhhhhtthhtththhhthhhhhhxhhhthtthhhh,xttthhthhttttttttxttthxhththhthhhxhthhhhhhhthhhhhhttthhxthxtthtttththhthhhhhhtthhtththhhthhhhhhxhhxhthtxthhhh,thhhtthtthhhhhhhhhhhtxththtthtttxthttttttthtttttthhhttxhtxhhthhhhthtthtttttthhtthhthttthttttttxttththhtttt,thhhtthtthhhhhhhhhhhtththtthtttthttttttthtttttthhhtththhthhhhthtthtttttthhtthhthttthttttttttththhtttt,ttthhthhttttttttttthhththhthhhhthhhhhhhthhhhhhttthhthtthtttththhthhhhhhtthhtththhhthhhhhhhhhthtthhhh,0,"[0, 1, 1, 0, 1, 0, 0, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 0, 1, 1, 0, 1, 0, 0, 0, 1, 0, 0, 1, 1, 1, 0, 0, 0, 1, 0, 0, 1, 1, 1, 1, 1, 0, 1, 0, 1, 0, 1, 0, 0, 0, 1, 1, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 1, 0, 1, 1, 1]","[0, 1, 1, 0, 1, 0, 0, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 0, 1, 1, 0, 1, 0, 0, 0, 1, 0, 0, 1, 1, 1, 0, 0, 0, 1, 0, 0, 1, 1, 1, 1, 1, 0, 1, 0, 1, 0, 1, 0, 0, 0, 1, 1, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 1, 0, 0, 1, 1, 1]",x
7,henrikG,51,marathon,hthhtthhhttthttthththhhthhttthhhttthhhtththhttthhthhttttthhtthttththththttttthhhtthtthhhhttxthhttttth,thtthhttthhhthhhththttthtthhhttthhhttthhthtthhhtthtthhhhhtthhthhhxhthththhhhhttthhthhtttthhxhtthhhhht,thtthhttthhhthhhththttthtthhhttthhhttthhthtthhhtthtthhhhhtthhthhhththththhhhhttthhthhtttthhxhtthhhhht,thtthhttthhhthhhththttthtthhhttthhhttthhthtthhhtthtthhhhhtthhthhhththththhhhhttthhthhtttthhhtthhhhht,thtthhttthhhthhhththttthtthhhttthhhttthhthtthhhtthtthhhhhtthhthhhhthththhhhhttthhthhtttthhhtthhhhht,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 1, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 1, 0, 0, 0, 0, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",
8,adamF,12,marathon,htttxhthxththtthhththtthtthtthhthhthhhthuhuhhtttuutxxthhhhhttthttththxttxhhhttttthuuuuuuhuuxtxttttththtt,htttxthhxththtthhththtthtththhhthhthhtththhhhhtttthtxthhhhhttthttththxttxhhhttttthttttttthhtxtxthththt,htttxhthxththtthhththtthtthtthhthhthhhthuhuhhtttuutxxthhhhhttthttththxttxhhhttttthuuuuuuhuuxtxttttththtt,httththththtthhththtthtthtthhthhthhhthhhhttttthhhhhttthttththtthhhttttthhtttttththtt,htttthhththtthhththtthtththhhthhthhtththhhhhtttthtthhhhhttthttththtthhhttttthttttttthhttthththt,0,"[0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 1, 1, 1, 0, 0, 1, 1, 0, 1, 1, 1, 1, 1, 0, 1, 0, 0, 1, 1, 1, 0, 0, 0, 1, 0, 0, 0, 1, 1, 1, 1, 1, 0, 0, 0, 1, 0, 0, 1, 0, 1, 0, 0]","[0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",
9,jillR,36,marathon,htttthhttthtttththththtxththhtthhhhththhuthhhthttttthhhhttththttxthtththhthhxhhtttthxhxhthhththhhhttthhth,htttthhttthtttththththtxththhtthhhhththhxthhhthttttthhhhttthtxhttxthtththhthhxhhtttthxhxhthhththhhhttthhth,htttthhttthtttththththtxththhtthhhhththhuthhhthttttthhhhttththttxthtththhthhxhhtttthxhxhthhththhhhttthhth,htttthhttthtttththththtththhtthhhhththhthhhthttttthhhhttththttthtththhthhhhtttthhhthhththhhhttthhth,htttthhttthtttththththtththhtthhhhththhthhhthttttthhhhttththttthtththhthhhhtttthhhthhththhhhttthhth,1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",
