person,person_factor,errors,succes
pierreG,1,0,1
pierreG,1,0,1
pierreG,1,0,1
pierreG,1,0,1
pierreG,1,0,1
pierreG,1,0,0
pierreG,1,0,0
pierreG,1,0,1
pierreG,1,0,0
pierreG,1,0,1
pierreG,1,0,0
pierreG,1,0,1
pierreG,1,0,1
pierreG,1,0,0
pierreG,1,0,0
pierreG,1,0,0
pierreG,1,0,1
pierreG,1,0,0
pierreG,1,0,1
pierreG,1,0,1
pierreG,1,0,0
pierreG,1,0,0
pierreG,1,0,1
pierreG,1,0,1
pierreG,1,0,1
pierreG,1,0,1
pierreG,1,0,1
pierreG,1,0,0
pierreG,1,0,0
pierreG,1,0,1
pierreG,1,0,1
pierreG,1,0,0
pierreG,1,0,1
pierreG,1,0,0
pierreG,1,0,1
pierreG,1,0,0
pierreG,1,0,1
pierreG,1,0,0
pierreG,1,0,1
pierreG,1,0,1
pierreG,1,0,0
pierreG,1,0,1
pierreG,1,0,0
pierreG,1,0,0
pierreG,1,0,0
pierreG,1,0,0
pierreG,1,0,0
pierreG,1,0,0
pierreG,1,0,0
pierreG,1,0,1
pierreG,1,0,1
pierreG,1,0,1
pierreG,1,0,1
pierreG,1,0,1
pierreG,1,0,1
pierreG,1,0,0
pierreG,1,0,0
pierreG,1,0,0
pierreG,1,0,1
pierreG,1,0,0
pierreG,1,0,1
pierreG,1,0,1
pierreG,1,0,1
pierreG,1,0,1
pierreG,1,0,0
pierreG,1,0,0
pierreG,1,0,1
pierreG,1,0,0
pierreG,1,0,0
pierreG,1,0,1
pierreG,1,0,0
pierreG,1,0,0
pierreG,1,0,1
pierreG,1,0,1
pierreG,1,0,0
pierreG,1,0,0
pierreG,1,0,1
pierreG,1,0,1
pierreG,1,0,1
pierreG,1,0,0
pierreG,1,0,1
pierreG,1,0,1
pierreG,1,0,0
pierreG,1,0,1
pierreG,1,0,1
pierreG,1,0,1
pierreG,1,0,0
pierreG,1,0,1
pierreG,1,0,0
pierreG,1,0,1
pierreG,1,0,0
pierreG,1,0,0
pierreG,1,0,0
pierreG,1,0,1
pierreG,1,0,0
pierreG,1,0,0
pierreG,1,0,1
pierreG,1,0,1
pierreG,1,0,1
pierreG,1,0,0
amirS,2,0,1
amirS,2,0,1
amirS,2,0,0
amirS,2,0,1
amirS,2,0,1
amirS,2,0,0
amirS,2,0,0
amirS,2,0,0
amirS,2,0,1
amirS,2,0,0
amirS,2,0,1
amirS,2,0,0
amirS,2,0,0
amirS,2,0,1
amirS,2,0,1
amirS,2,0,0
amirS,2,0,1
amirS,2,0,1
amirS,2,0,0
amirS,2,0,0
amirS,2,0,0
amirS,2,0,0
amirS,2,0,0
amirS,2,0,0
amirS,2,0,0
amirS,2,0,1
amirS,2,0,0
amirS,2,0,0
amirS,2,0,1
amirS,2,0,0
amirS,2,0,0
amirS,2,0,0
amirS,2,0,0
amirS,2,1,1
amirS,2,0,1
amirS,2,1,0
amirS,2,1,0
amirS,2,1,0
amirS,2,0,1
amirS,2,0,0
amirS,2,0,0
amirS,2,0,1
amirS,2,0,1
amirS,2,0,0
amirS,2,0,0
amirS,2,0,0
amirS,2,0,1
amirS,2,0,1
amirS,2,0,1
amirS,2,0,1
amirS,2,0,0
amirS,2,0,0
amirS,2,0,1
amirS,2,0,0
amirS,2,0,0
amirS,2,0,0
amirS,2,0,1
amirS,2,0,0
amirS,2,0,0
amirS,2,0,0
amirS,2,0,0
amirS,2,0,1
amirS,2,0,0
amirS,2,0,0
amirS,2,0,1
amirS,2,0,1
amirS,2,0,1
amirS,2,0,1
amirS,2,0,0
amirS,2,0,1
amirS,2,0,0
amirS,2,0,0
amirS,2,0,0
amirS,2,0,0
amirS,2,0,0
amirS,2,0,0
amirS,2,0,1
amirS,2,0,1
amirS,2,0,0
amirS,2,0,0
amirS,2,0,0
amirS,2,0,0
amirS,2,0,0
amirS,2,0,1
amirS,2,0,0
amirS,2,0,1
amirS,2,0,0
amirS,2,0,1
amirS,2,0,0
amirS,2,0,1
amirS,2,0,0
amirS,2,0,0
amirS,2,0,0
amirS,2,0,1
amirS,2,0,0
amirS,2,0,1
amirS,2,0,1
amirS,2,0,0
amirS,2,0,0
amirS,2,0,1
davidV,3,0,1
davidV,3,0,1
davidV,3,0,1
davidV,3,0,0
davidV,3,0,0
davidV,3,0,0
davidV,3,0,1
davidV,3,0,0
davidV,3,0,0
davidV,3,0,1
davidV,3,0,1
davidV,3,0,1
davidV,3,0,1
davidV,3,0,0
davidV,3,0,0
davidV,3,0,0
davidV,3,0,1
davidV,3,0,1
davidV,3,0,1
davidV,3,0,0
davidV,3,0,0
davidV,3,0,1
davidV,3,0,1
davidV,3,0,1
davidV,3,0,1
davidV,3,0,0
davidV,3,0,0
davidV,3,0,0
davidV,3,0,1
davidV,3,0,0
davidV,3,0,0
davidV,3,0,0
davidV,3,0,1
davidV,3,0,0
davidV,3,0,1
davidV,3,0,0
davidV,3,0,1
davidV,3,0,0
davidV,3,0,0
davidV,3,0,0
davidV,3,0,0
davidV,3,0,1
davidV,3,0,1
davidV,3,0,1
davidV,3,0,0
davidV,3,0,0
davidV,3,0,0
davidV,3,0,0
davidV,3,0,1
davidV,3,0,1
davidV,3,0,0
davidV,3,0,0
davidV,3,0,0
davidV,3,0,1
davidV,3,0,0
davidV,3,0,1
davidV,3,0,1
davidV,3,0,0
davidV,3,0,0
davidV,3,0,0
davidV,3,0,0
davidV,3,0,0
davidV,3,0,1
davidV,3,0,0
davidV,3,0,1
davidV,3,0,1
davidV,3,0,1
davidV,3,0,1
davidV,3,0,1
davidV,3,0,1
davidV,3,0,1
davidV,3,0,0
davidV,3,0,1
davidV,3,0,0
davidV,3,0,1
davidV,3,0,1
davidV,3,0,0
davidV,3,0,1
davidV,3,0,1
davidV,3,0,1
davidV,3,0,0
davidV,3,0,0
davidV,3,0,1
davidV,3,0,1
davidV,3,0,0
davidV,3,0,1
davidV,3,0,1
davidV,3,0,0
davidV,3,0,1
davidV,3,0,0
davidV,3,0,0
davidV,3,0,1
davidV,3,0,0
davidV,3,0,0
davidV,3,0,1
davidV,3,0,1
davidV,3,0,1
davidV,3,0,1
davidV,3,0,1
davidV,3,0,0
kaleemU,4,0,1
kaleemU,4,0,1
kaleemU,4,0,0
kaleemU,4,0,1
kaleemU,4,0,1
kaleemU,4,0,0
kaleemU,4,0,1
kaleemU,4,0,1
kaleemU,4,0,1
kaleemU,4,0,0
kaleemU,4,0,1
kaleemU,4,0,0
kaleemU,4,0,0
kaleemU,4,0,1
kaleemU,4,0,1
kaleemU,4,0,0
kaleemU,4,0,0
kaleemU,4,0,0
kaleemU,4,0,0
kaleemU,4,0,1
kaleemU,4,0,1
kaleemU,4,0,1
kaleemU,4,0,1
kaleemU,4,0,1
kaleemU,4,0,0
kaleemU,4,0,0
kaleemU,4,0,1
kaleemU,4,0,0
kaleemU,4,0,0
kaleemU,4,0,0
kaleemU,4,0,0
kaleemU,4,1,0
kaleemU,4,0,1
kaleemU,4,0,0
kaleemU,4,0,1
kaleemU,4,0,1
kaleemU,4,0,0
kaleemU,4,0,0
kaleemU,4,0,0
kaleemU,4,0,0
kaleemU,4,0,1
kaleemU,4,0,0
kaleemU,4,0,1
kaleemU,4,0,0
kaleemU,4,0,1
kaleemU,4,0,0
kaleemU,4,0,0
kaleemU,4,0,1
kaleemU,4,0,1
kaleemU,4,0,1
kaleemU,4,0,1
kaleemU,4,0,1
kaleemU,4,0,0
kaleemU,4,0,1
kaleemU,4,0,0
kaleemU,4,0,0
kaleemU,4,0,0
kaleemU,4,0,1
kaleemU,4,0,0
kaleemU,4,0,0
kaleemU,4,0,1
kaleemU,4,0,1
kaleemU,4,0,1
kaleemU,4,0,1
kaleemU,4,0,0
kaleemU,4,0,1
kaleemU,4,0,1
kaleemU,4,0,0
kaleemU,4,0,1
kaleemU,4,0,1
kaleemU,4,0,1
kaleemU,4,0,1
kaleemU,4,0,1
kaleemU,4,0,0
kaleemU,4,0,1
kaleemU,4,0,0
kaleemU,4,0,1
kaleemU,4,0,1
kaleemU,4,0,1
kaleemU,4,0,0
kaleemU,4,0,0
kaleemU,4,0,1
kaleemU,4,0,0
kaleemU,4,0,0
kaleemU,4,0,0
kaleemU,4,0,1
kaleemU,4,0,0
kaleemU,4,0,1
kaleemU,4,0,0
kaleemU,4,0,0
kaleemU,4,0,0
kaleemU,4,0,1
kaleemU,4,0,1
kaleemU,4,0,0
kaleemU,4,0,1
kaleemU,4,0,1
kaleemU,4,0,0
kaleemU,4,0,1
kaleemU,4,0,0
kaleemU,4,0,1
davidKL,5,0,1
davidKL,5,0,0
davidKL,5,0,1
davidKL,5,0,1
davidKL,5,0,0
davidKL,5,0,1
davidKL,5,0,1
davidKL,5,0,1
davidKL,5,0,0
davidKL,5,0,0
davidKL,5,0,0
davidKL,5,0,1
davidKL,5,0,0
davidKL,5,0,0
davidKL,5,0,1
davidKL,5,0,1
davidKL,5,0,1
davidKL,5,0,0
davidKL,5,0,1
davidKL,5,0,1
davidKL,5,0,1
davidKL,5,0,0
davidKL,5,0,0
davidKL,5,0,1
davidKL,5,0,1
davidKL,5,0,1
davidKL,5,0,1
davidKL,5,0,1
davidKL,5,0,1
davidKL,5,0,0
davidKL,5,0,0
davidKL,5,0,0
davidKL,5,0,1
davidKL,5,0,0
davidKL,5,0,1
davidKL,5,0,1
davidKL,5,0,1
davidKL,5,0,0
davidKL,5,0,1
davidKL,5,0,1
davidKL,5,0,1
davidKL,5,0,1
davidKL,5,0,1
davidKL,5,0,1
davidKL,5,0,1
