person,succes
pierreG,0
pierreG,0
pierreG,1
pierreG,0
pierreG,0
pierreG,0
pierreG,1
pierreG,0
pierreG,0
pierreG,0
pierreG,1
pierreG,1
pierreG,0
pierreG,1
pierreG,0
pierreG,1
pierreG,1
pierreG,0
pierreG,0
pierreG,0
pierreG,0
pierreG,1
pierreG,1
pierreG,1
pierreG,1
pierreG,0
pierreG,1
pierreG,0
pierreG,1
pierreG,0
pierreG,1
pierreG,1
pierreG,1
pierreG,1
pierreG,0
pierreG,1
pierreG,1
pierreG,0
pierreG,1
pierreG,0
pierreG,1
pierreG,1
pierreG,0
pierreG,0
pierreG,0
pierreG,0
pierreG,0
pierreG,0
pierreG,0
pierreG,0
pierreG,1
pierreG,0
pierreG,1
pierreG,1
pierreG,1
pierreG,1
pierreG,1
pierreG,0
pierreG,0
pierreG,1
pierreG,0
pierreG,1
pierreG,0
pierreG,0
pierreG,1
pierreG,1
pierreG,1
pierreG,0
pierreG,0
pierreG,1
pierreG,1
pierreG,0
pierreG,1
pierreG,0
pierreG,1
pierreG,0
pierreG,1
pierreG,0
pierreG,1
pierreG,0
pierreG,1
pierreG,0
pierreG,0
pierreG,1
pierreG,0
pierreG,1
pierreG,0
pierreG,1
pierreG,1
pierreG,1
pierreG,1
pierreG,0
pierreG,0
pierreG,0
pierreG,0
pierreG,1
pierreG,0
pierreG,1
pierreG,1
pierreG,0
pierreG,0
pierreG,1
pierreG,0
pierreG,0
pierreG,0
pierreG,0
pierreG,1
pierreG,1
pierreG,0
pierreG,1
pierreG,0
pierreG,0
pierreG,0
pierreG,0
pierreG,0
pierreG,1
pierreG,0
pierreG,0
pierreG,1
pierreG,0
pierreG,0
pierreG,1
pierreG,1
pierreG,1
pierreG,1
pierreG,1
pierreG,0
pierreG,1
pierreG,0
pierreG,1
pierreG,0
pierreG,0
pierreG,0
pierreG,0
pierreG,0
pierreG,0
pierreG,1
pierreG,1
pierreG,0
pierreG,1
pierreG,0
pierreG,1
pierreG,1
pierreG,0
pierreG,0
pierreG,1
pierreG,1
pierreG,0
pierreG,1
pierreG,0
pierreG,0
pierreG,1
pierreG,0
pierreG,1
pierreG,1
pierreG,1
pierreG,1
pierreG,1
pierreG,0
pierreG,0
pierreG,1
pierreG,0
pierreG,1
pierreG,1
pierreG,1
pierreG,0
pierreG,0
pierreG,0
pierreG,1
pierreG,0
pierreG,1
pierreG,1
pierreG,1
pierreG,1
pierreG,1
pierreG,1
pierreG,1
pierreG,0
pierreG,0
pierreG,1
pierreG,0
pierreG,0
pierreG,1
pierreG,0
pierreG,1
pierreG,1
pierreG,0
pierreG,1
pierreG,0
pierreG,1
pierreG,1
pierreG,1
pierreG,1
pierreG,1
pierreG,0
pierreG,0
pierreG,1
pierreG,0
pierreG,1
pierreG,0
pierreG,1
pierreG,0
pierreG,1
pierreG,1
pierreG,1
pierreG,1
pierreG,1
pierreG,0
pierreG,0
pierreG,1
pierreG,0
pierreG,0
pierreG,0
pierreG,1
pierreG,0
pierreG,1
pierreG,0
pierreG,1
pierreG,1
pierreG,1
pierreG,0
pierreG,0
pierreG,1
pierreG,0
pierreG,0
pierreG,0
pierreG,0
pierreG,0
pierreG,0
pierreG,1
pierreG,1
pierreG,1
pierreG,0
pierreG,0
pierreG,1
pierreG,0
pierreG,1
pierreG,1
pierreG,0
pierreG,1
pierreG,0
pierreG,1
pierreG,1
pierreG,1
pierreG,1
pierreG,0
pierreG,0
pierreG,1
pierreG,0
pierreG,0
pierreG,1
pierreG,1
pierreG,1
pierreG,0
pierreG,1
pierreG,0
pierreG,0
pierreG,0
pierreG,1
pierreG,0
pierreG,1
pierreG,0
pierreG,1
pierreG,1
pierreG,0
pierreG,1
pierreG,1
pierreG,0
pierreG,1
pierreG,1
pierreG,1
pierreG,0
pierreG,1
pierreG,0
pierreG,1
pierreG,1
pierreG,0
pierreG,0
pierreG,1
pierreG,0
pierreG,0
pierreG,0
pierreG,0
pierreG,1
pierreG,1
pierreG,1
pierreG,1
pierreG,1
pierreG,0
pierreG,1
pierreG,0
pierreG,1
pierreG,1
pierreG,0
pierreG,1
pierreG,0
pierreG,1
pierreG,0
pierreG,1
pierreG,0
pierreG,0
pierreG,0
pierreG,0
pierreG,0
pierreG,0
pierreG,1
pierreG,0
pierreG,1
pierreG,0
pierreG,0
pierreG,0
pierreG,0
pierreG,0
pierreG,0
pierreG,0
pierreG,0
pierreG,0
pierreG,1
pierreG,0
pierreG,1
pierreG,0
pierreG,0
pierreG,1
pierreG,1
pierreG,1
pierreG,1
pierreG,0
pierreG,0
pierreG,1
pierreG,0
pierreG,0
pierreG,1
pierreG,1
pierreG,0
pierreG,0
pierreG,0
pierreG,1
pierreG,0
pierreG,1
pierreG,1
pierreG,1
pierreG,1
pierreG,0
pierreG,1
pierreG,1
pierreG,1
pierreG,1
pierreG,1
pierreG,0
pierreG,1
pierreG,1
pierreG,1
pierreG,1
pierreG,1
pierreG,0
pierreG,0
pierreG,0
pierreG,0
pierreG,1
pierreG,0
pierreG,0
pierreG,1
pierreG,0
pierreG,1
pierreG,0
pierreG,1
pierreG,0
pierreG,1
pierreG,0
pierreG,1
pierreG,1
pierreG,0
pierreG,1
pierreG,1
pierreG,1
pierreG,1
pierreG,0
pierreG,1
pierreG,1
pierreG,1
pierreG,1
pierreG,0
pierreG,0
pierreG,0
pierreG,0
pierreG,1
pierreG,1
pierreG,0
pierreG,1
pierreG,0
pierreG,0
pierreG,0
pierreG,1
pierreG,0
pierreG,1
pierreG,1
pierreG,0
pierreG,0
pierreG,0
pierreG,1
pierreG,1
pierreG,1
pierreG,1
pierreG,1
pierreG,1
pierreG,0
pierreG,0
pierreG,0
pierreG,1
pierreG,1
pierreG,0
pierreG,0
pierreG,1
pierreG,1
pierreG,0
pierreG,0
pierreG,1
pierreG,0
pierreG,1
pierreG,1
pierreG,0
pierreG,0
pierreG,0
pierreG,1
pierreG,1
pierreG,1
pierreG,1
pierreG,0
pierreG,1
pierreG,0
pierreG,1
pierreG,0
pierreG,1
pierreG,1
pierreG,0
pierreG,1
pierreG,1
pierreG,0
pierreG,1
pierreG,1
pierreG,0
pierreG,1
pierreG,0
pierreG,1
pierreG,1
pierreG,0
pierreG,1
pierreG,0
pierreG,1
pierreG,1
pierreG,0
pierreG,1
pierreG,0
pierreG,1
pierreG,1
pierreG,1
pierreG,1
pierreG,1
pierreG,1
pierreG,1
pierreG,0
pierreG,1
pierreG,0
pierreG,1
pierreG,1
pierreG,0
pierreG,1
pierreG,0
pierreG,1
pierreG,0
pierreG,0
pierreG,0
pierreG,1
pierreG,0
pierreG,0
pierreG,0
pierreG,0
pierreG,1
pierreG,0
pierreG,1
pierreG,0
pierreG,1
pierreG,0
pierreG,1
pierreG,1
pierreG,1
pierreG,0
pierreG,0
pierreG,0
pierreG,0
pierreG,1
pierreG,1
pierreG,1
pierreG,1
pierreG,1
pierreG,1
pierreG,0
pierreG,0
pierreG,1
pierreG,1
pierreG,0
pierreG,0
pierreG,1
pierreG,1
pierreG,1
pierreG,0
pierreG,1
pierreG,1
pierreG,1
pierreG,0
pierreG,0
pierreG,0
pierreG,0
pierreG,0
pierreG,0
pierreG,0
pierreG,0
pierreG,1
pierreG,0
pierreG,0
pierreG,1
pierreG,0
pierreG,0
pierreG,1
pierreG,0
pierreG,0
pierreG,1
pierreG,1
pierreG,1
pierreG,0
pierreG,0
pierreG,1
pierreG,0
pierreG,1
pierreG,1
pierreG,0
pierreG,1
pierreG,1
pierreG,1
pierreG,0
pierreG,0
pierreG,1
pierreG,1
pierreG,0
pierreG,0
pierreG,1
pierreG,1
pierreG,1
pierreG,0
pierreG,0
pierreG,0
pierreG,1
pierreG,0
pierreG,0
pierreG,0
pierreG,0
pierreG,0
pierreG,0
pierreG,1
pierreG,0
pierreG,0
pierreG,1
pierreG,0
pierreG,1
pierreG,1
pierreG,0
pierreG,1
pierreG,1
pierreG,1
pierreG,0
pierreG,1
pierreG,0
pierreG,1
pierreG,0
pierreG,1
pierreG,1
pierreG,1
pierreG,1
pierreG,1
pierreG,1
pierreG,0
pierreG,0
pierreG,1
pierreG,1
pierreG,0
pierreG,0
pierreG,0
pierreG,0
pierreG,1
pierreG,1
pierreG,0
pierreG,1
pierreG,0
pierreG,0
pierreG,0
pierreG,0
pierreG,1
pierreG,0
pierreG,1
pierreG,1
pierreG,1
pierreG,1
pierreG,0
pierreG,1
pierreG,1
pierreG,1
pierreG,1
pierreG,0
pierreG,0
pierreG,0
pierreG,0
pierreG,0
pierreG,0
pierreG,0
pierreG,0
pierreG,0
pierreG,1
pierreG,0
pierreG,0
pierreG,0
pierreG,0
pierreG,0
pierreG,1
pierreG,0
pierreG,0
pierreG,1
pierreG,1
pierreG,1
pierreG,1
pierreG,1
pierreG,0
pierreG,0
pierreG,1
pierreG,1
pierreG,1
pierreG,0
pierreG,0
pierreG,0
pierreG,1
pierreG,1
pierreG,0
pierreG,0
pierreG,1
pierreG,1
pierreG,1
pierreG,1
pierreG,1
pierreG,0
pierreG,0
pierreG,0
pierreG,1
pierreG,0
pierreG,1
pierreG,1
pierreG,1
pierreG,1
pierreG,0
pierreG,1
pierreG,0
pierreG,0
pierreG,1
pierreG,0
pierreG,0
pierreG,1
pierreG,0
pierreG,1
pierreG,1
pierreG,0
pierreG,1
pierreG,0
pierreG,1
pierreG,1
pierreG,1
pierreG,0
pierreG,0
pierreG,0
pierreG,1
pierreG,1
pierreG,0
pierreG,1
pierreG,1
pierreG,1
pierreG,1
pierreG,1
pierreG,0
pierreG,1
pierreG,1
pierreG,0
pierreG,1
pierreG,0
pierreG,1
pierreG,1
pierreG,0
pierreG,0
pierreG,1
pierreG,0
pierreG,0
pierreG,1
pierreG,0
pierreG,0
pierreG,0
pierreG,0
pierreG,0
pierreG,0
pierreG,1
pierreG,0
pierreG,1
pierreG,0
pierreG,1
pierreG,1
pierreG,0
pierreG,0
pierreG,0
pierreG,1
pierreG,0
pierreG,1
pierreG,1
pierreG,0
pierreG,1
pierreG,0
pierreG,1
pierreG,1
pierreG,1
pierreG,1
pierreG,1
pierreG,0
pierreG,0
pierreG,1
pierreG,0
pierreG,1
pierreG,0
pierreG,1
pierreG,0
pierreG,0
pierreG,0
pierreG,0
pierreG,1
pierreG,0
pierreG,0
pierreG,0
pierreG,0
pierreG,1
pierreG,1
pierreG,0
pierreG,1
pierreG,0
pierreG,0
pierreG,0
pierreG,0
pierreG,0
pierreG,1
pierreG,0
pierreG,0
pierreG,0
pierreG,0
pierreG,0
pierreG,0
pierreG,1
pierreG,1
pierreG,1
pierreG,0
pierreG,1
pierreG,0
pierreG,1
pierreG,0
pierreG,1
pierreG,0
pierreG,1
pierreG,0
pierreG,0
pierreG,1
pierreG,1
pierreG,0
pierreG,1
pierreG,1
pierreG,1
pierreG,1
pierreG,1
pierreG,1
pierreG,1
pierreG,0
pierreG,0
pierreG,0
pierreG,1
pierreG,0
pierreG,0
pierreG,0
pierreG,1
pierreG,1
pierreG,1
pierreG,1
pierreG,0
pierreG,1
pierreG,0
pierreG,1
pierreG,0
pierreG,1
pierreG,1
pierreG,0
pierreG,1
pierreG,0
pierreG,1
pierreG,0
pierreG,1
pierreG,0
pierreG,1
pierreG,0
pierreG,0
pierreG,0
pierreG,1
pierreG,1
pierreG,1
pierreG,1
pierreG,1
pierreG,1
pierreG,0
pierreG,0
pierreG,0
pierreG,1
pierreG,0
pierreG,1
pierreG,1
pierreG,0
pierreG,0
pierreG,1
pierreG,1
pierreG,1
pierreG,1
pierreG,0
pierreG,0
pierreG,0
pierreG,0
pierreG,0
pierreG,0
pierreG,1
pierreG,0
pierreG,1
pierreG,0
pierreG,1
pierreG,0
pierreG,0
pierreG,1
pierreG,1
pierreG,0
pierreG,0
pierreG,0
pierreG,0
pierreG,0
pierreG,0
pierreG,0
pierreG,1
pierreG,1
pierreG,1
pierreG,0
pierreG,1
pierreG,0
pierreG,0
pierreG,1
pierreG,1
pierreG,0
pierreG,0
pierreG,0
pierreG,0
pierreG,0
pierreG,1
pierreG,0
pierreG,0
pierreG,1
pierreG,0
pierreG,1
pierreG,1
pierreG,1
pierreG,1
pierreG,1
pierreG,0
pierreG,1
pierreG,0
pierreG,1
pierreG,0
pierreG,0
pierreG,0
pierreG,0
pierreG,0
pierreG,0
pierreG,0
pierreG,0
pierreG,1
pierreG,1
pierreG,1
pierreG,0
pierreG,0
pierreG,0
pierreG,0
pierreG,1
pierreG,0
pierreG,1
pierreG,1
pierreG,0
pierreG,0
pierreG,0
pierreG,1
pierreG,1
pierreG,0
pierreG,1
pierreG,1
pierreG,0
pierreG,1
pierreG,0
pierreG,1
pierreG,1
pierreG,1
pierreG,0
pierreG,1
pierreG,0
pierreG,1
pierreG,0
pierreG,0
pierreG,1
pierreG,1
pierreG,1
pierreG,0
pierreG,0
pierreG,1
pierreG,0
pierreG,0
pierreG,1
pierreG,0
pierreG,0
pierreG,1
