person,succes
frantisekB,1
frantisekB,1
frantisekB,0
frantisekB,0
frantisekB,0
frantisekB,1
frantisekB,0
frantisekB,1
frantisekB,1
frantisekB,1
frantisekB,0
frantisekB,0
frantisekB,1
frantisekB,1
frantisekB,0
frantisekB,1
frantisekB,1
frantisekB,0
frantisekB,1
frantisekB,1
frantisekB,1
frantisekB,1
frantisekB,0
frantisekB,1
frantisekB,1
frantisekB,0
frantisekB,1
frantisekB,1
frantisekB,1
frantisekB,1
frantisekB,1
frantisekB,1
frantisekB,0
frantisekB,0
frantisekB,0
frantisekB,1
frantisekB,1
frantisekB,0
frantisekB,1
frantisekB,1
frantisekB,0
frantisekB,0
frantisekB,1
frantisekB,0
frantisekB,0
frantisekB,1
frantisekB,1
frantisekB,1
frantisekB,1
frantisekB,1
frantisekB,1
frantisekB,0
frantisekB,1
frantisekB,0
frantisekB,0
frantisekB,1
frantisekB,0
frantisekB,1
frantisekB,0
frantisekB,1
frantisekB,1
frantisekB,1
frantisekB,0
frantisekB,0
frantisekB,1
frantisekB,1
frantisekB,1
frantisekB,0
frantisekB,0
frantisekB,1
frantisekB,1
frantisekB,1
frantisekB,1
frantisekB,0
frantisekB,0
frantisekB,0
frantisekB,1
frantisekB,0
frantisekB,1
frantisekB,1
frantisekB,0
frantisekB,0
frantisekB,0
frantisekB,0
frantisekB,1
frantisekB,1
frantisekB,0
frantisekB,1
frantisekB,1
frantisekB,1
frantisekB,0
frantisekB,1
frantisekB,1
frantisekB,1
frantisekB,1
frantisekB,0
frantisekB,0
frantisekB,0
frantisekB,0
frantisekB,1
frantisekB,0
frantisekB,0
frantisekB,0
frantisekB,1
frantisekB,0
frantisekB,0
frantisekB,1
frantisekB,0
frantisekB,1
frantisekB,1
frantisekB,1
frantisekB,0
frantisekB,1
frantisekB,0
frantisekB,0
frantisekB,1
frantisekB,1
frantisekB,1
frantisekB,1
frantisekB,0
frantisekB,1
frantisekB,0
frantisekB,1
frantisekB,0
frantisekB,1
frantisekB,0
frantisekB,1
frantisekB,0
frantisekB,0
frantisekB,1
frantisekB,0
frantisekB,1
frantisekB,0
frantisekB,0
frantisekB,1
frantisekB,0
frantisekB,1
frantisekB,1
frantisekB,1
frantisekB,0
frantisekB,0
frantisekB,0
frantisekB,1
frantisekB,1
frantisekB,1
frantisekB,0
frantisekB,0
frantisekB,1
frantisekB,1
frantisekB,0
frantisekB,1
frantisekB,1
frantisekB,1
frantisekB,1
frantisekB,0
frantisekB,0
frantisekB,0
frantisekB,0
frantisekB,1
frantisekB,1
frantisekB,1
frantisekB,0
frantisekB,0
frantisekB,1
frantisekB,1
frantisekB,0
frantisekB,0
frantisekB,1
frantisekB,0
frantisekB,0
frantisekB,1
frantisekB,0
frantisekB,1
frantisekB,1
frantisekB,0
frantisekB,0
frantisekB,0
frantisekB,1
frantisekB,1
frantisekB,0
frantisekB,1
frantisekB,0
frantisekB,1
frantisekB,0
frantisekB,0
frantisekB,1
frantisekB,0
frantisekB,1
frantisekB,1
frantisekB,0
frantisekB,1
frantisekB,0
frantisekB,1
frantisekB,0
frantisekB,0
frantisekB,1
frantisekB,0
frantisekB,0
frantisekB,0
frantisekB,0
frantisekB,0
frantisekB,1
frantisekB,1
frantisekB,0
frantisekB,1
frantisekB,0
frantisekB,1
frantisekB,0
frantisekB,0
frantisekB,0
frantisekB,0
frantisekB,1
frantisekB,0
frantisekB,1
frantisekB,0
frantisekB,1
frantisekB,1
frantisekB,1
frantisekB,0
frantisekB,0
frantisekB,0
frantisekB,1
frantisekB,0
frantisekB,1
frantisekB,0
frantisekB,0
frantisekB,0
frantisekB,0
frantisekB,0
frantisekB,1
frantisekB,1
frantisekB,1
frantisekB,1
frantisekB,1
frantisekB,0
frantisekB,0
frantisekB,0
frantisekB,0
frantisekB,0
frantisekB,1
frantisekB,0
frantisekB,0
frantisekB,1
frantisekB,1
frantisekB,1
frantisekB,1
frantisekB,0
frantisekB,0
frantisekB,0
frantisekB,1
frantisekB,1
frantisekB,0
frantisekB,1
frantisekB,1
frantisekB,0
frantisekB,0
frantisekB,0
frantisekB,0
frantisekB,0
frantisekB,1
frantisekB,0
frantisekB,0
frantisekB,1
frantisekB,0
frantisekB,1
frantisekB,1
frantisekB,0
frantisekB,0
frantisekB,1
frantisekB,0
frantisekB,0
frantisekB,0
frantisekB,1
frantisekB,0
frantisekB,0
frantisekB,0
frantisekB,0
frantisekB,0
frantisekB,0
frantisekB,0
frantisekB,0
frantisekB,0
frantisekB,0
frantisekB,1
frantisekB,0
frantisekB,1
frantisekB,0
frantisekB,0
frantisekB,1
frantisekB,1
frantisekB,1
frantisekB,1
frantisekB,1
frantisekB,1
frantisekB,0
frantisekB,1
frantisekB,1
frantisekB,0
frantisekB,0
frantisekB,1
frantisekB,1
frantisekB,0
frantisekB,0
frantisekB,1
frantisekB,0
frantisekB,1
frantisekB,0
frantisekB,1
frantisekB,1
frantisekB,0
frantisekB,1
frantisekB,1
frantisekB,1
frantisekB,0
frantisekB,0
frantisekB,1
frantisekB,1
frantisekB,1
frantisekB,1
frantisekB,1
frantisekB,1
frantisekB,0
frantisekB,0
frantisekB,1
frantisekB,1
frantisekB,1
frantisekB,1
frantisekB,1
frantisekB,0
frantisekB,1
frantisekB,0
frantisekB,1
frantisekB,1
frantisekB,1
frantisekB,0
frantisekB,1
frantisekB,1
frantisekB,1
frantisekB,0
frantisekB,0
frantisekB,0
frantisekB,0
frantisekB,1
frantisekB,1
frantisekB,1
frantisekB,1
frantisekB,0
frantisekB,0
frantisekB,0
frantisekB,1
frantisekB,0
frantisekB,1
frantisekB,1
frantisekB,1
frantisekB,1
frantisekB,1
frantisekB,0
frantisekB,1
frantisekB,0
frantisekB,0
frantisekB,1
frantisekB,1
frantisekB,1
frantisekB,1
frantisekB,0
frantisekB,0
frantisekB,1
frantisekB,0
frantisekB,1
frantisekB,0
frantisekB,1
frantisekB,0
frantisekB,1
frantisekB,1
frantisekB,1
frantisekB,0
frantisekB,1
frantisekB,1
frantisekB,1
frantisekB,1
frantisekB,1
frantisekB,0
frantisekB,0
frantisekB,0
frantisekB,1
frantisekB,1
frantisekB,0
frantisekB,0
frantisekB,1
frantisekB,1
frantisekB,1
frantisekB,0
frantisekB,1
frantisekB,0
frantisekB,0
frantisekB,0
frantisekB,0
frantisekB,1
frantisekB,0
frantisekB,1
frantisekB,1
frantisekB,0
frantisekB,1
frantisekB,0
frantisekB,0
frantisekB,1
frantisekB,0
frantisekB,0
frantisekB,0
frantisekB,0
frantisekB,1
frantisekB,1
frantisekB,1
frantisekB,0
frantisekB,0
frantisekB,1
frantisekB,0
frantisekB,1
frantisekB,1
frantisekB,0
frantisekB,0
frantisekB,0
frantisekB,1
frantisekB,1
frantisekB,1
frantisekB,1
frantisekB,1
frantisekB,1
frantisekB,0
frantisekB,0
frantisekB,1
frantisekB,0
frantisekB,0
frantisekB,1
frantisekB,0
frantisekB,1
frantisekB,0
frantisekB,0
frantisekB,1
frantisekB,0
frantisekB,0
frantisekB,1
frantisekB,1
frantisekB,0
frantisekB,1
frantisekB,1
frantisekB,0
frantisekB,0
frantisekB,0
frantisekB,0
frantisekB,0
frantisekB,1
frantisekB,0
frantisekB,0
frantisekB,0
frantisekB,1
frantisekB,1
frantisekB,1
frantisekB,1
frantisekB,1
frantisekB,0
frantisekB,0
frantisekB,1
frantisekB,0
frantisekB,0
frantisekB,0
frantisekB,0
frantisekB,1
frantisekB,0
frantisekB,1
frantisekB,0
frantisekB,0
frantisekB,1
frantisekB,1
frantisekB,0
frantisekB,0
frantisekB,0
frantisekB,1
frantisekB,0
frantisekB,0
frantisekB,1
frantisekB,0
frantisekB,0
frantisekB,0
frantisekB,1
frantisekB,0
frantisekB,0
frantisekB,0
frantisekB,1
frantisekB,0
frantisekB,0
frantisekB,0
frantisekB,0
frantisekB,0
frantisekB,0
frantisekB,0
frantisekB,0
frantisekB,0
frantisekB,0
frantisekB,1
frantisekB,1
frantisekB,0
frantisekB,0
frantisekB,1
frantisekB,1
frantisekB,0
frantisekB,1
frantisekB,0
frantisekB,1
frantisekB,0
frantisekB,1
frantisekB,1
frantisekB,1
frantisekB,1
frantisekB,0
frantisekB,0
frantisekB,1
frantisekB,1
frantisekB,0
frantisekB,1
frantisekB,1
frantisekB,0
frantisekB,1
frantisekB,0
frantisekB,1
frantisekB,1
frantisekB,0
frantisekB,1
frantisekB,0
frantisekB,1
frantisekB,1
frantisekB,0
frantisekB,1
frantisekB,0
frantisekB,1
frantisekB,0
frantisekB,1
frantisekB,1
frantisekB,0
frantisekB,0
frantisekB,0
frantisekB,1
frantisekB,1
frantisekB,1
frantisekB,0
frantisekB,0
frantisekB,1
frantisekB,0
frantisekB,0
frantisekB,1
frantisekB,0
frantisekB,0
frantisekB,0
frantisekB,0
frantisekB,0
frantisekB,1
frantisekB,0
frantisekB,0
frantisekB,1
frantisekB,1
frantisekB,0
frantisekB,0
frantisekB,0
frantisekB,0
frantisekB,0
frantisekB,1
frantisekB,1
frantisekB,0
frantisekB,1
frantisekB,0
frantisekB,0
frantisekB,1
frantisekB,0
frantisekB,1
frantisekB,0
frantisekB,1
frantisekB,1
frantisekB,0
frantisekB,0
frantisekB,1
frantisekB,1
frantisekB,0
frantisekB,0
frantisekB,0
frantisekB,1
frantisekB,1
frantisekB,0
frantisekB,1
frantisekB,0
frantisekB,0
frantisekB,1
frantisekB,1
frantisekB,1
frantisekB,1
frantisekB,0
frantisekB,1
frantisekB,1
frantisekB,1
frantisekB,1
frantisekB,1
frantisekB,1
frantisekB,1
frantisekB,1
frantisekB,0
frantisekB,1
frantisekB,0
frantisekB,0
frantisekB,0
frantisekB,1
frantisekB,0
frantisekB,0
frantisekB,1
frantisekB,1
frantisekB,0
frantisekB,1
frantisekB,1
frantisekB,0
frantisekB,0
frantisekB,0
frantisekB,0
frantisekB,1
frantisekB,0
frantisekB,0
frantisekB,1
frantisekB,0
frantisekB,1
frantisekB,1
frantisekB,0
frantisekB,0
frantisekB,1
frantisekB,1
frantisekB,1
frantisekB,1
frantisekB,0
frantisekB,0
frantisekB,0
frantisekB,1
frantisekB,0
frantisekB,0
frantisekB,0
frantisekB,1
frantisekB,1
frantisekB,0
frantisekB,1
frantisekB,0
frantisekB,0
frantisekB,1
frantisekB,1
frantisekB,1
frantisekB,0
frantisekB,0
frantisekB,0
frantisekB,0
frantisekB,0
frantisekB,1
frantisekB,0
frantisekB,0
frantisekB,1
frantisekB,0
frantisekB,1
frantisekB,1
frantisekB,0
frantisekB,1
frantisekB,0
frantisekB,0
frantisekB,0
frantisekB,0
frantisekB,1
frantisekB,1
frantisekB,1
frantisekB,0
frantisekB,1
frantisekB,0
frantisekB,0
frantisekB,1
frantisekB,0
frantisekB,0
frantisekB,1
frantisekB,1
frantisekB,1
frantisekB,0
frantisekB,0
frantisekB,0
frantisekB,0
frantisekB,0
frantisekB,0
frantisekB,0
frantisekB,0
frantisekB,0
frantisekB,1
frantisekB,1
frantisekB,1
frantisekB,0
frantisekB,0
frantisekB,1
frantisekB,0
frantisekB,0
frantisekB,0
frantisekB,0
frantisekB,1
frantisekB,1
frantisekB,1
frantisekB,1
frantisekB,1
frantisekB,1
frantisekB,1
frantisekB,1
frantisekB,1
frantisekB,1
