person,factor_person,coin,factor_coin,succes
frantisekB,1,20DEM-silver,1,1
frantisekB,1,20DEM-silver,1,1
frantisekB,1,20DEM-silver,1,0
frantisekB,1,20DEM-silver,1,0
frantisekB,1,20DEM-silver,1,0
frantisekB,1,20DEM-silver,1,1
frantisekB,1,20DEM-silver,1,0
frantisekB,1,20DEM-silver,1,1
frantisekB,1,20DEM-silver,1,1
frantisekB,1,20DEM-silver,1,1
frantisekB,1,20DEM-silver,1,0
frantisekB,1,20DEM-silver,1,0
frantisekB,1,20DEM-silver,1,1
frantisekB,1,20DEM-silver,1,1
frantisekB,1,20DEM-silver,1,0
frantisekB,1,20DEM-silver,1,1
frantisekB,1,20DEM-silver,1,1
frantisekB,1,20DEM-silver,1,0
frantisekB,1,20DEM-silver,1,1
frantisekB,1,20DEM-silver,1,1
frantisekB,1,20DEM-silver,1,1
frantisekB,1,20DEM-silver,1,1
frantisekB,1,20DEM-silver,1,0
frantisekB,1,20DEM-silver,1,1
frantisekB,1,20DEM-silver,1,1
frantisekB,1,20DEM-silver,1,0
frantisekB,1,20DEM-silver,1,1
frantisekB,1,20DEM-silver,1,1
frantisekB,1,20DEM-silver,1,1
frantisekB,1,20DEM-silver,1,1
frantisekB,1,20DEM-silver,1,1
frantisekB,1,20DEM-silver,1,1
frantisekB,1,20DEM-silver,1,0
frantisekB,1,20DEM-silver,1,1
frantisekB,1,20DEM-silver,1,1
frantisekB,1,20DEM-silver,1,1
frantisekB,1,20DEM-silver,1,0
frantisekB,1,20DEM-silver,1,1
frantisekB,1,20DEM-silver,1,1
frantisekB,1,20DEM-silver,1,0
frantisekB,1,20DEM-silver,1,0
frantisekB,1,20DEM-silver,1,1
frantisekB,1,20DEM-silver,1,0
frantisekB,1,20DEM-silver,1,0
frantisekB,1,20DEM-silver,1,1
frantisekB,1,20DEM-silver,1,1
frantisekB,1,20DEM-silver,1,1
frantisekB,1,20DEM-silver,1,1
frantisekB,1,20DEM-silver,1,1
frantisekB,1,20DEM-silver,1,1
frantisekB,1,20DEM-silver,1,0
frantisekB,1,20DEM-silver,1,1
frantisekB,1,20DEM-silver,1,0
frantisekB,1,20DEM-silver,1,0
frantisekB,1,20DEM-silver,1,1
frantisekB,1,20DEM-silver,1,0
frantisekB,1,20DEM-silver,1,1
frantisekB,1,20DEM-silver,1,0
frantisekB,1,20DEM-silver,1,1
frantisekB,1,20DEM-silver,1,1
frantisekB,1,20DEM-silver,1,1
frantisekB,1,20DEM-silver,1,0
frantisekB,1,20DEM-silver,1,0
frantisekB,1,20DEM-silver,1,1
frantisekB,1,20DEM-silver,1,1
frantisekB,1,20DEM-silver,1,1
